siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-12-01,PM10,28.6
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2002-01-01,NO2,44.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-01-01,NO2,44.9
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2002-01-01,PM10,25.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-01-01,PM10,21.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-02-01,NO2,32.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-02-01,PM10,19.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-03-01,NO2,48.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-03-01,PM10,25.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-04-01,NO2,42.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-04-01,PM10,30.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-05-01,NO2,37.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-05-01,PM10,24.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-06-01,NO2,30.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-06-01,PM10,20.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-07-01,NO2,35.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-07-01,PM10,21.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-08-01,NO2,41.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-08-01,PM10,25.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-09-01,NO2,51.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-09-01,PM10,25.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-10-01,NO2,54.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-10-01,PM10,26.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-11-01,NO2,54.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-11-01,PM10,24.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-12-01,NO2,48.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2002-12-01,PM10,28.0
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2003-01-01,NO2,48.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-01-01,NO2,47.7
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2003-01-01,PM10,28.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-01-01,PM10,22.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-02-01,NO2,62.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-02-01,PM10,35.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-03-01,NO2,57.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-03-01,PM10,39.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-04-01,NO2,49.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-04-01,PM10,33.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-05-01,NO2,36.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-05-01,PM10,21.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-06-01,NO2,35.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-06-01,PM10,24.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-07-01,NO2,30.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-07-01,PM10,22.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-08-01,NO2,38.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-08-01,PM10,31.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-09-01,NO2,55.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-09-01,PM10,29.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-10-01,NO2,51.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-10-01,PM10,25.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-11-01,NO2,49.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-11-01,PM10,26.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-12-01,NO2,57.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2003-12-01,PM10,26.5
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2004-01-01,NO2,41.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-01-01,NO2,44.9
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2004-01-01,PM10,24.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-01-01,PM10,21.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-02-01,NO2,48.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-02-01,PM10,26.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-03-01,NO2,52.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-03-01,PM10,31.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-04-01,NO2,44.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-04-01,PM10,24.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-05-01,NO2,37.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-05-01,PM10,25.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-06-01,NO2,29.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-06-01,PM10,28.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-07-01,NO2,27.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-07-01,PM10,17.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-08-01,NO2,27.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-08-01,PM10,22.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-09-01,NO2,36.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-09-01,PM10,22.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-10-01,NO2,39.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-10-01,PM10,19.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-11-01,NO2,53.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-11-01,PM10,24.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-12-01,NO2,53.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2004-12-01,PM10,28.4
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2005-01-01,NO2,42.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2005-01-01,NO2,39.9
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2005-01-01,PM10,25.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2005-01-01,PM10,19.0
